,name,emotion,frame
0,,,1
1,,,1
0,,,2
1,Raju,anger,2
0,,,3
1,Raju,anger,3
0,,,4
1,,,4
2,,,4
3,,,4
0,,,5
1,,,5
2,,,5
3,,,5
0,,,6
1,,,6
2,,,6
0,,,7
1,,,7
2,,,7
0,,,8
1,,,8
0,,,9
1,Raju,anger,9
0,,,10
1,,,10
2,Raju,anger,10
0,,,11
1,,,11
0,,,12
1,,,12
2,,,12
0,,,13
1,,,13
2,Raju,anger,13
0,,,14
1,Raju,anger,14
0,,,15
1,Raju,anger,15
0,,,16
1,,,16
2,,,16
3,,,16
0,Farhan,happy,17
0,Farhan,happy,18
0,Farhan,happy,19
0,,,20
0,,,21
1,,,21
0,,,22
0,,,23
0,,,24
1,Rancho,sad,24
2,,,24
0,,,25
1,,,25
2,,,25
0,,,27
1,Raju,sad,27
2,,,27
0,,,28
1,,,28
0,,,29
1,,,29
2,,,29
3,,,29
0,,,30
1,Raju,anger,30
0,,,31
1,,,31
0,,,32
1,,,32
2,,,32
0,,,33
1,,,33
0,,,34
1,Raju,anger,34
2,,,34
0,,,35
1,,,35
0,,,36
1,,,36
